Municipio,Circunscripcion,Partido,Candidato,Votos,Partido_Votos,Partido_P,P
APIA,NACIONAL,AHORA COLOMBIA,CRISTIAN MARINO SAMBONI,10,622,11.85%,0.19%
APIA,NACIONAL,AHORA COLOMBIA,ERIKA SUGEY PINZON CARDENAS,10,622,11.85%,0.19%
APIA,NACIONAL,AHORA COLOMBIA,PEDRO JOANES LEYVA RIZZO,10,622,11.85%,0.19%
APIA,NACIONAL,ALIANZA POR COLOMBIA,CRISTIAN ADOLFO RIVAS DIAZ,10,601,11.45%,0.19%
APIA,NACIONAL,ALIANZA POR COLOMBIA,DUBET ANTONIO MUÑOZ BEDOYA,10,601,11.45%,0.19%
APIA,NACIONAL,ALIANZA POR COLOMBIA,JAIRO ALBERTO CASTELLANOS SERRANO,10,601,11.45%,0.19%
APIA,NACIONAL,ALIANZA POR COLOMBIA,JOHANNA ASTRID ZORRO VARGAS,10,601,11.45%,0.19%
APIA,NACIONAL,ALIANZA POR COLOMBIA,LUIS MIGUEL GOMEZ COTES,10,601,11.45%,0.19%
APIA,NACIONAL,COALICIÓN CAMBIO RADICAL - ALMA,ADRIANA ROCIO CADENA CANCINO,10,639,12.17%,0.19%
APIA,NACIONAL,COALICIÓN CAMBIO RADICAL - ALMA,JOSE MARIA VILLANUEVA RAMIREZ,10,639,12.17%,0.19%
APIA,NACIONAL,COALICIÓN CAMBIO RADICAL - ALMA,MALLERLY KATHERINE MARTINEZ LINARES,10,639,12.17%,0.19%
APIA,NACIONAL,COALICIÓN CAMBIO RADICAL - ALMA,NUBIA CLEMENCIA ARIAS GONZALEZ,10,639,12.17%,0.19%
APIA,NACIONAL,COALICIÓN FUERZA CIUDADANA,DIANA LUCIA CAMACHO DIAZ,10,410,7.81%,0.19%
APIA,NACIONAL,COALICIÓN FUERZA CIUDADANA,HERNANDO NARANJO BAYONA,10,410,7.81%,0.19%
APIA,NACIONAL,COALICIÓN FUERZA CIUDADANA,MATHEO AUGUSTO RINCON GALVIS,10,410,7.81%,0.19%
APIA,NACIONAL,CREEMOS,GUSTAVO ALONSO PINEDO POLO,10,126,2.4%,0.19%
APIA,NACIONAL,CREEMOS,NELSON BARRERA ROA,10,126,2.4%,0.19%
APIA,NACIONAL,FRENTE AMPLIO UNITARIO,ALEJANDRO DE LIMA BOHMER,10,569,10.84%,0.19%
APIA,NACIONAL,FRENTE AMPLIO UNITARIO,BAYRON EDILSON FLOREZ PORTILLA,10,569,10.84%,0.19%
APIA,NACIONAL,FRENTE AMPLIO UNITARIO,EBERTO ENRIQUE DIAZ MONTES,10,569,10.84%,0.19%
APIA,NACIONAL,FRENTE AMPLIO UNITARIO,MARIA ISABEL CORDOBA PANESSO,10,569,10.84%,0.19%
APIA,NACIONAL,FRENTE AMPLIO UNITARIO,MAXIMO JOSE NORIEGA RODRIGUEZ,10,569,10.84%,0.19%
APIA,NACIONAL,FRENTE AMPLIO UNITARIO,MIGUEL ALARCON BLANCO,10,569,10.84%,0.19%
APIA,NACIONAL,FRENTE AMPLIO UNITARIO,RENE LEONARDO PUENTES VARGAS,10,569,10.84%,0.19%
APIA,NACIONAL,MOVIMIENTO SALVACIÓN NACIONAL,ALEJANDRO OSPINA ANGARITA,10,328,6.25%,0.19%
APIA,NACIONAL,MOVIMIENTO SALVACIÓN NACIONAL,ANDREA CATALINA ROSAS URREGO,10,328,6.25%,0.19%
APIA,NACIONAL,MOVIMIENTO SALVACIÓN NACIONAL,CARLOS AUGUSTO VARGAS RODRIGUEZ,10,328,6.25%,0.19%
APIA,NACIONAL,MOVIMIENTO SALVACIÓN NACIONAL,CARLOS FELIPE MEJIA MEJIA,10,328,6.25%,0.19%
APIA,NACIONAL,MOVIMIENTO SALVACIÓN NACIONAL,EDUARD BUITRAGO ACERO,10,328,6.25%,0.19%
APIA,NACIONAL,MOVIMIENTO SALVACIÓN NACIONAL,JOSE ANGEL ESPINOSA HENAO,10,328,6.25%,0.19%
APIA,NACIONAL,PARTIDO CONSERVADOR COLOMBIANO,HAROLD MILTON VALENCIA RUGE,10,613,11.68%,0.19%
APIA,NACIONAL,PARTIDO CONSERVADOR COLOMBIANO,KAREN ALICIA DE VILLEROS BERMUDEZ,10,613,11.68%,0.19%
APIA,NACIONAL,PARTIDO CONSERVADOR COLOMBIANO,MIGUEL ANGEL BARRETO CASTILLO,10,613,11.68%,0.19%
APIA,NACIONAL,PARTIDO CONSERVADOR COLOMBIANO,NELSON REMIGIO VEGA VEGA,10,613,11.68%,0.19%
APIA,NACIONAL,PARTIDO CONSERVADOR COLOMBIANO,RUBEN DARIO GIRALDO CARVAJAL,10,613,11.68%,0.19%
APIA,NACIONAL,PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U,CAROLINA GUAÑARITA FLOREZ,10,660,12.57%,0.19%
APIA,NACIONAL,PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U,JOSE CRISTIAN LEON MOLINA,10,660,12.57%,0.19%
APIA,NACIONAL,PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U,PABLO ANTONIO BUSTACARA LARGO,10,660,12.57%,0.19%
APIA,NACIONAL,PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U,WILMER RAMIRO CARRILLO MENDOZA,10,660,12.57%,0.19%
APIA,NACIONAL,PARTIDO LIBERAL COLOMBIANO,ALIX YIRLEY VARGAS TORRADO,10,641,12.21%,0.19%
APIA,NACIONAL,PARTIDO LIBERAL COLOMBIANO,ANA CECILIA VARGAS FORERO,10,641,12.21%,0.19%
APIA,NACIONAL,PARTIDO LIBERAL COLOMBIANO,FABIO RAUL AMIN SALEME,10,641,12.21%,0.19%
APIA,NACIONAL,PARTIDO LIBERAL COLOMBIANO,LAURA ESTER FORTICH SANCHEZ,10,641,12.21%,0.19%
APIA,NACIONAL,PARTIDO LIBERAL COLOMBIANO,SEBASTIAN TRUJILLO OSORIO,10,641,12.21%,0.19%
APIA,NACIONAL,AHORA COLOMBIA,FLOR NELSY ALBARRACIN VELANDIA,9,622,11.85%,0.17%
APIA,NACIONAL,AHORA COLOMBIA,HEINER DENIS LEAL POLICITIVO,9,622,11.85%,0.17%
APIA,NACIONAL,AHORA COLOMBIA,JOHANNA ALEXANDRA BAUTISTA MAZUTIER,9,622,11.85%,0.17%
APIA,NACIONAL,AHORA COLOMBIA,LEIDY JOHANNA CARMONA CASTILLO,9,622,11.85%,0.17%
APIA,NACIONAL,AHORA COLOMBIA,LIDY YAHIR CAMACHO TELLEZ,9,622,11.85%,0.17%
APIA,NACIONAL,AHORA COLOMBIA,LINA MARCELA PEÑA ZUBIRIA,9,622,11.85%,0.17%
APIA,NACIONAL,AHORA COLOMBIA,NELLY AMPARO FLOREZ VEGA,9,622,11.85%,0.17%
APIA,NACIONAL,AHORA COLOMBIA,NUBIA ESTHER COTRINA ROMERO,9,622,11.85%,0.17%
APIA,NACIONAL,AHORA COLOMBIA,OSCAR DAVID GALAN ESCALANTE,9,622,11.85%,0.17%
APIA,NACIONAL,AHORA COLOMBIA,PABLO ANTONIO BUSTOS SANCHEZ,9,622,11.85%,0.17%
APIA,NACIONAL,AHORA COLOMBIA,RODRIGO CORTES BORRERO,9,622,11.85%,0.17%
APIA,NACIONAL,ALIANZA POR COLOMBIA,ALMA JULIANA CRISTANCHO ACEVEDO,9,601,11.45%,0.17%
APIA,NACIONAL,ALIANZA POR COLOMBIA,ANTONIO LUIS ZABARAIN LOPEZ,9,601,11.45%,0.17%
APIA,NACIONAL,ALIANZA POR COLOMBIA,FRANKLIN BARBOSA BERMUDEZ,9,601,11.45%,0.17%
APIA,NACIONAL,ALIANZA POR COLOMBIA,GUSTAVO ADOLFO MORENO HURTADO,9,601,11.45%,0.17%
APIA,NACIONAL,ALIANZA POR COLOMBIA,JOSE ERNESTO GUEVARA,9,601,11.45%,0.17%
APIA,NACIONAL,ALIANZA POR COLOMBIA,MARIA DEL CARMEN CLAVIJO GOMEZ,9,601,11.45%,0.17%
APIA,NACIONAL,ALIANZA POR COLOMBIA,MILA MARIA PAZ CAMPAZ,9,601,11.45%,0.17%
APIA,NACIONAL,ALIANZA POR COLOMBIA,NESTOR DANIEL GARCIA COLORADO,9,601,11.45%,0.17%
APIA,NACIONAL,ALIANZA POR COLOMBIA,WENDY ALEXANDRA TRUJILLO RAMIREZ,9,601,11.45%,0.17%
APIA,NACIONAL,COALICIÓN CAMBIO RADICAL - ALMA,ALVARO MIGUEL NAVAS PATRON,9,639,12.17%,0.17%
APIA,NACIONAL,COALICIÓN CAMBIO RADICAL - ALMA,ANA CECILIA AGUIRRE BUITRAGO,9,639,12.17%,0.17%
APIA,NACIONAL,COALICIÓN CAMBIO RADICAL - ALMA,ANDRES FELIPE CANO STERLING,9,639,12.17%,0.17%
APIA,NACIONAL,COALICIÓN CAMBIO RADICAL - ALMA,FERNANDO TOLOZA COLORADO,9,639,12.17%,0.17%
APIA,NACIONAL,COALICIÓN CAMBIO RADICAL - ALMA,NATALIA ISABEL RINCON GALVAN,9,639,12.17%,0.17%
APIA,NACIONAL,COALICIÓN CAMBIO RADICAL - ALMA,PAULINO RIASCOS RIASCOS,9,639,12.17%,0.17%
APIA,NACIONAL,COALICIÓN FUERZA CIUDADANA,ANLENIS ROSA RANGEL VIDES,9,410,7.81%,0.17%
APIA,NACIONAL,COALICIÓN FUERZA CIUDADANA,GLORIA AMPARO DE LAS MERCEDES GAITAN JARAMILLO,9,410,7.81%,0.17%
APIA,NACIONAL,COALICIÓN FUERZA CIUDADANA,JOSE ARISTARCO SIERRA PEREZ,9,410,7.81%,0.17%
APIA,NACIONAL,COALICIÓN FUERZA CIUDADANA,LUIS ENRIQUE HERNANDEZ CARO,9,410,7.81%,0.17%
APIA,NACIONAL,COALICIÓN FUERZA CIUDADANA,RUBEN DARIO LOZADA BARROS,9,410,7.81%,0.17%
APIA,NACIONAL,CREEMOS,JORGE HUGO ARANGUREN OCAMPO,9,126,2.4%,0.17%
APIA,NACIONAL,FRENTE AMPLIO UNITARIO,DAVID BALLEN HERNANDEZ,9,569,10.84%,0.17%
APIA,NACIONAL,FRENTE AMPLIO UNITARIO,HERNANDO NIÑO RIVERA,9,569,10.84%,0.17%
APIA,NACIONAL,FRENTE AMPLIO UNITARIO,JENY JOHANA MESA SUAREZ,9,569,10.84%,0.17%
APIA,NACIONAL,FRENTE AMPLIO UNITARIO,LUIS ENRIQUE PERDOMO CUBIDES,9,569,10.84%,0.17%
APIA,NACIONAL,FRENTE AMPLIO UNITARIO,MARY LUZ HERRAN CARDENAS,9,569,10.84%,0.17%
APIA,NACIONAL,FRENTE AMPLIO UNITARIO,WILDER RENE CASTIBLANCO MANDON,9,569,10.84%,0.17%
APIA,NACIONAL,MOVIMIENTO SALVACIÓN NACIONAL,DIANA SOCORRO PERAFAN HURTADO,9,328,6.25%,0.17%
APIA,NACIONAL,MOVIMIENTO SALVACIÓN NACIONAL,ENRIQUE EDUARDO HERRERA ARAUJO,9,328,6.25%,0.17%
APIA,NACIONAL,MOVIMIENTO SALVACIÓN NACIONAL,NANCY PATRICIA QUINTERO URREGO,9,328,6.25%,0.17%
APIA,NACIONAL,MOVIMIENTO SALVACIÓN NACIONAL,ZAYDA PATRICIA GARCIA BENITEZ,9,328,6.25%,0.17%
APIA,NACIONAL,PARTIDO CONSERVADOR COLOMBIANO,ABELARDO RAFAEL MEZA HERAZO,9,613,11.68%,0.17%
APIA,NACIONAL,PARTIDO CONSERVADOR COLOMBIANO,ALBA ROCIO ROMERO GARCIA,9,613,11.68%,0.17%
APIA,NACIONAL,PARTIDO CONSERVADOR COLOMBIANO,ANDRES FELIPE CARO CARVAJAL,9,613,11.68%,0.17%
APIA,NACIONAL,PARTIDO CONSERVADOR COLOMBIANO,CARLOS ARMANDO SUSSMAN PEÑA,9,613,11.68%,0.17%
APIA,NACIONAL,PARTIDO CONSERVADOR COLOMBIANO,DIANA CAROLINA PICO CARVAJAL,9,613,11.68%,0.17%
APIA,NACIONAL,PARTIDO CONSERVADOR COLOMBIANO,EDWIN JAVIER BRITO GARCIA,9,613,11.68%,0.17%
APIA,NACIONAL,PARTIDO CONSERVADOR COLOMBIANO,LACIDES CARMELO TRUJILLO CARRILLO,9,613,11.68%,0.17%
APIA,NACIONAL,PARTIDO CONSERVADOR COLOMBIANO,LUZ DALY GONZALEZ CRUZADO,9,613,11.68%,0.17%
APIA,NACIONAL,PARTIDO CONSERVADOR COLOMBIANO,MARCOS DANIEL PINEDA GARCIA,9,613,11.68%,0.17%
APIA,NACIONAL,PARTIDO CONSERVADOR COLOMBIANO,NADYA GEORGETTE BLEL SCAFF,9,613,11.68%,0.17%
APIA,NACIONAL,PARTIDO CONSERVADOR COLOMBIANO,OSCAR ANTONIO BONILLA VARELA,9,613,11.68%,0.17%
APIA,NACIONAL,PARTIDO CONSERVADOR COLOMBIANO,YOBANY OROZCO VALENCIANO,9,613,11.68%,0.17%
APIA,NACIONAL,PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U,CARMEN ELENA SUAREZ MUÑOZ,9,660,12.57%,0.17%
APIA,NACIONAL,PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U,CARMEN SOFIA LOPEZ PORTILLO,9,660,12.57%,0.17%
APIA,NACIONAL,PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U,DIANA ESPERANZA ACUÑA GARCIA,9,660,12.57%,0.17%
APIA,NACIONAL,PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U,ELKIN DAVID BUENO ALTAHONA,9,660,12.57%,0.17%
APIA,NACIONAL,PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U,GUSTAVO ADOLFO MARTINEZ ARCOS,9,660,12.57%,0.17%
APIA,NACIONAL,PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U,JESUS ANDRES PAVA MENDOZA,9,660,12.57%,0.17%
APIA,NACIONAL,PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U,JOSE ALFREDO GNECCO ZULETA,9,660,12.57%,0.17%
APIA,NACIONAL,PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U,JOSE LUIS MONTOYA COBO,9,660,12.57%,0.17%
APIA,NACIONAL,PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U,MADELEINE LASCARRO RODRIGUEZ,9,660,12.57%,0.17%
APIA,NACIONAL,PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U,OMAR ALBERTO SILVA JIMENEZ,9,660,12.57%,0.17%
APIA,NACIONAL,PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U,PATRICIA EUGENIA BLANCO FADUL,9,660,12.57%,0.17%
APIA,NACIONAL,PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U,SANDRA PATRICIA DEL SOCORRO ORTIZ VALENCIA,9,660,12.57%,0.17%
APIA,NACIONAL,PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U,SEBASTIAN RINCON ZULUAGA,9,660,12.57%,0.17%
APIA,NACIONAL,PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U,VANESSA PALACIOS QUINTERO,9,660,12.57%,0.17%
APIA,NACIONAL,PARTIDO LIBERAL COLOMBIANO,BLANCA GLADIS BERNAL ESCOBAR,9,641,12.21%,0.17%
APIA,NACIONAL,PARTIDO LIBERAL COLOMBIANO,CARLOS ALBERTO CORREDOR ANGULO,9,641,12.21%,0.17%
APIA,NACIONAL,PARTIDO LIBERAL COLOMBIANO,EDGAR JOSE RUIZ DORANTES,9,641,12.21%,0.17%
APIA,NACIONAL,PARTIDO LIBERAL COLOMBIANO,HORACIO JOSE SERPA MONCADA,9,641,12.21%,0.17%
APIA,NACIONAL,PARTIDO LIBERAL COLOMBIANO,JAMES STEVE CANIZALES SERRANO,9,641,12.21%,0.17%
APIA,NACIONAL,PARTIDO LIBERAL COLOMBIANO,JUAN GUILLERMO CANO URIBE,9,641,12.21%,0.17%
APIA,NACIONAL,PARTIDO LIBERAL COLOMBIANO,JUANITA DE LOS ANGELES ARIZA GUZMAN,9,641,12.21%,0.17%
APIA,NACIONAL,PARTIDO LIBERAL COLOMBIANO,LEYDI MILENA JIMENEZ CARRILLO,9,641,12.21%,0.17%
APIA,NACIONAL,PARTIDO LIBERAL COLOMBIANO,OSCAR HERNAN SANCHEZ LEON,9,641,12.21%,0.17%
APIA,NACIONAL,AHORA COLOMBIA,ANDRES DANIEL NORIEGA SARMIENTO,8,622,11.85%,0.15%
APIA,NACIONAL,AHORA COLOMBIA,CARLOS ALBERTO OSORIO CALDERON,8,622,11.85%,0.15%
APIA,NACIONAL,AHORA COLOMBIA,EDWIN YOBANY VIVAS PEREZ,8,622,11.85%,0.15%
APIA,NACIONAL,AHORA COLOMBIA,ENRIQUE URIBE BOTERO,8,622,11.85%,0.15%
APIA,NACIONAL,AHORA COLOMBIA,JORGE IVAN GOMEZ URREGO,8,622,11.85%,0.15%
APIA,NACIONAL,AHORA COLOMBIA,JUAN BERNARDO SERRANO ARDILA,8,622,11.85%,0.15%
APIA,NACIONAL,AHORA COLOMBIA,JUAN JAVIER BAENA MERLANO,8,622,11.85%,0.15%
APIA,NACIONAL,AHORA COLOMBIA,LUIS ALFREDO ALVAREZ RODRIGUEZ,8,622,11.85%,0.15%
APIA,NACIONAL,AHORA COLOMBIA,MIREYA RAMIREZ PULIDO,8,622,11.85%,0.15%
APIA,NACIONAL,AHORA COLOMBIA,OCTAVIO ANDRES YULES RESTREPO,8,622,11.85%,0.15%
APIA,NACIONAL,ALIANZA POR COLOMBIA,JOHN EDICKSON AMAYA RODRIGUEZ,8,601,11.45%,0.15%
APIA,NACIONAL,ALIANZA POR COLOMBIA,JOSE DEL CARMEN ABRIL ABRIL,8,601,11.45%,0.15%
APIA,NACIONAL,ALIANZA POR COLOMBIA,JUAN CARLOS BOCANEGRA CHACON,8,601,11.45%,0.15%
APIA,NACIONAL,ALIANZA POR COLOMBIA,JUAN RACHIF CABARCAS RAHMAN,8,601,11.45%,0.15%
APIA,NACIONAL,ALIANZA POR COLOMBIA,LEON FREDY MUÑOZ LOPERA,8,601,11.45%,0.15%
APIA,NACIONAL,ALIANZA POR COLOMBIA,LUVI KATHERINE MIRANDA PEÑA,8,601,11.45%,0.15%
APIA,NACIONAL,ALIANZA POR COLOMBIA,MANUEL ANTONIO GARCES GRANJA,8,601,11.45%,0.15%
APIA,NACIONAL,COALICIÓN CAMBIO RADICAL - ALMA,CARLOS MARIO FARELO DAZA,8,639,12.17%,0.15%
APIA,NACIONAL,COALICIÓN CAMBIO RADICAL - ALMA,EDGAR OROZCO VICTORIA,8,639,12.17%,0.15%
APIA,NACIONAL,COALICIÓN CAMBIO RADICAL - ALMA,ELIECER CRECENCIO QUIÑONES ANGULO,8,639,12.17%,0.15%
APIA,NACIONAL,COALICIÓN CAMBIO RADICAL - ALMA,GERARDO SOTOMONTE ANGULO,8,639,12.17%,0.15%
APIA,NACIONAL,COALICIÓN CAMBIO RADICAL - ALMA,GERSEL LUIS PEREZ ALTAMIRANDA,8,639,12.17%,0.15%
APIA,NACIONAL,COALICIÓN CAMBIO RADICAL - ALMA,INDIRA GONZALEZ ESTRADA,8,639,12.17%,0.15%
APIA,NACIONAL,COALICIÓN CAMBIO RADICAL - ALMA,JOSE LUIS PEREZ OYUELA,8,639,12.17%,0.15%
APIA,NACIONAL,COALICIÓN CAMBIO RADICAL - ALMA,LEWIS EDUARDO JIMENEZ GARCIA,8,639,12.17%,0.15%
APIA,NACIONAL,COALICIÓN CAMBIO RADICAL - ALMA,LUDYS DEL TRANSITO RODRIGUEZ LINERO,8,639,12.17%,0.15%
APIA,NACIONAL,COALICIÓN CAMBIO RADICAL - ALMA,LUIS FERNANDO VELAZQUEZ BUENO,8,639,12.17%,0.15%
APIA,NACIONAL,COALICIÓN CAMBIO RADICAL - ALMA,MARIA FERNANDA CHAVES,8,639,12.17%,0.15%
APIA,NACIONAL,COALICIÓN CAMBIO RADICAL - ALMA,MAURICIO BEJARANO ARANGO,8,639,12.17%,0.15%
APIA,NACIONAL,COALICIÓN CAMBIO RADICAL - ALMA,OSCAR HERNANDEZ GUALDRON,8,639,12.17%,0.15%
APIA,NACIONAL,COALICIÓN CAMBIO RADICAL - ALMA,REINALDO DE JESUS SIERRA RAMIREZ,8,639,12.17%,0.15%
